Fixed_acidity Volatile_acidity Critic_acid Residual_sugar Chlorides Free_sulfur_dioxide Total_sulfur_dioxide Density pH Sulphates Alcohol Class
7	0.16	0.26	7.3	0.047	30	220	0.99622	3.38	0.58	10.1	bad
7.6	0.18	0.28	7.1	0.041	29	110	0.99652	3.2	0.42	9.2	bad
6	0.29	0.41	10.8	0.048	55	149	0.9937	3.09	0.59	10.96666667	good
6.2	0.16	0.32	1.1	0.036	74	184	0.99096	3.22	0.41	11	bad
6.8	0.11	0.42	1.1	0.042	51	132	0.99059	3.18	0.74	11.3	good
8.7	0.45	0.4	1.5	0.067	17	100	0.9957	3.27	0.57	10.1	bad
8.1	0.26	0.27	4.3	0.03	43	123	0.99212	3.16	0.33	11.2	bad
7.2	0.23	0.46	6.4	0.036	17	85	0.99279	3.1	0.78	11.7	bad
6.3	0.27	0.38	0.9	0.051	7	140	0.9926	3.45	0.5	10.5	good
7.7	0.16	0.36	5.9	0.054	25	148	0.99578	3.25	0.54	10.2	bad
9	0.26	0.34	6.7	0.029	21	162	0.99497	3.08	0.5	10.6	bad
6.9	0.22	0.32	9.3	0.04	22	110	0.9958	3.34	0.54	10.7	good
6.8	0.14	0.35	1.5	0.047	40	117	0.99111	3.07	0.72	11.1	bad
7.1	0.44	0.37	2.7	0.041	35	128	0.9896	3.07	0.43	13.5	good
6.2	0.355	0.35	2	0.046	31	95	0.98822	3.06	0.46	13.6	bad
6.2	0.1	0.41	1	0.04	17	76	0.98988	3.14	0.56	11.4	good
6.3	0.17	0.32	4.2	0.04	37	117	0.99182	3.24	0.43	11.3	bad
6	0.28	0.52	6.2	0.028	37	104	0.99161	3.28	0.51	11.8	good
7.1	0.12	0.3	3.1	0.018	15	37	0.99004	3.02	0.52	11.9	good
7	0.16	0.3	2.6	0.043	34	90	0.99047	2.88	0.47	11.2	bad
6.1	0.16	0.34	6.1	0.034	31	114	0.99365	3.32	0.58	10.13333333	good
7	0.16	0.25	14.3	0.044	27	149	0.998	2.91	0.46	9.2	bad
6.6	0.32	0.34	7.7	0.044	63	212	0.99526	3.22	0.48	9.7	bad
6.5	0.26	0.74	13.3	0.044	68	224	0.9972	3.18	0.54	9.5	bad
6.8	0.17	0.35	1.8	0.04	29	84	0.98961	2.91	0.57	12	good
6.2	0.24	0.28	12.2	0.049	54	133	0.9952	3.19	0.37	10.7	bad
6.7	0.21	0.49	1.4	0.047	30	114	0.9914	2.92	0.42	10.8	good
6.5	0.08	0.33	1.9	0.028	23	93	0.991	3.34	0.7	12	good
6.4	0.4	0.25	4.2	0.032	15	91	0.98988	3.26	0.52	13.1	bad
6.5	0.18	0.29	1.7	0.035	39	144	0.9927	3.49	0.5	10.5	bad
7.3	0.25	0.36	13.1	0.05	35	200	0.9986	3.04	0.46	8.9	good
7.2	0.24	0.24	1.7	0.045	18	161	0.99196	3.25	0.53	11.2	bad
7.3	0.23	0.41	14.6	0.048	73	223	0.99863	3.16	0.71	9.4	bad
7.8	0.26	0.31	3.6	0.025	22	100	0.99066	2.99	0.47	12.1	good
7.7	0.27	0.49	1.8	0.041	23	86	0.9914	3.16	0.42	12.5	bad
7	0.22	0.33	2.1	0.052	15	76	0.993	3.2	0.41	10.6	bad
6	0.24	0.27	1.9	0.048	40	170	0.9938	3.64	0.54	10	good
7.1	0.43	0.3	6.6	0.025	15	138	0.99126	3.18	0.46	12.6	bad
6.2	0.3	0.42	2.2	0.036	28	128	0.9901	3.13	0.38	11.6	bad
5.7	0.37	0.3	1.1	0.029	24	88	0.98883	3.18	0.39	11.7	bad
9.6	0.655	0.21	2	0.039	21	120	0.99188	3	1	12.6	bad
7.5	0.24	0.29	1.1	0.046	34	84	0.9902	3.04	0.39	11.45	bad
7.9	0.16	0.64	17	0.05	69	210	1.0004	3.15	0.51	9.3	good
6.8	0.15	0.41	12.9	0.044	79.5	183	0.99742	3.24	0.78	10.2	bad
7.3	0.23	0.41	14.6	0.048	73	223	0.99863	3.16	0.71	9.4	bad
7.2	0.2	0.61	16.2	0.043	14	103	0.9987	3.06	0.36	9.2	bad
7.1	0.18	0.39	15.25	0.047	45	158	0.99946	3.34	0.77	9.1	bad
6	0.22	0.25	11.1	0.056	112	177	0.9961	3.08	0.36	9.4	bad
6	0.24	0.41	1.3	0.036	42	118	0.99018	3.04	0.64	11.73333333	bad
6.5	0.115	0.29	1.95	0.038	73	166	0.989	3.12	0.25	12.9	good
7.3	0.27	0.3	1.3	0.04	26	84	0.99222	3.28	0.53	10.7	bad
7.4	0.26	0.31	2.4	0.043	58	178	0.9941	3.42	0.68	10.6	bad
6	0.52	0.33	7.7	0.046	24	119	0.99224	3.04	0.38	11	bad
7.7	0.24	0.3	1.4	0.041	15	102	0.9929	3.26	0.53	10.4	bad
6.4	0.27	0.29	10.8	0.028	17	118	0.99356	3.18	0.37	11.2	bad
7	0.32	0.31	6.4	0.031	38	115	0.99235	3.38	0.58	12.2	good
6.6	0.32	0.26	4.6	0.031	26	120	0.99198	3.4	0.73	12.5	good
7.2	0.33	0.28	1.4	0.034	26	109	0.99246	3.28	0.57	10.6	bad
